Timestamp,Vibration (mm/s²),Vibration Frequency (Hz),Rotational Speed (RPM),Flow Rate (L/min),Inlet Pressure (bar),Outlet Pressure (bar),Motor Temperature (°C),Pump Bearing Temperature (°C),Current (Amps),Voltage (Volts),Power Consumption (kW),Water Conductivity (µS/cm),Salinity (%),pH Level,Ambient Temperature (°C),Time Since Last Maintenance (days),Failure
2024-02-06 23:30:00,0.7620127560002898,52.5503566963646,2936.0095357421324,538.7732019545833,3.1505535366979864,5.821824568700274,32.45815839017605,48.37900604701575,11.902543356039622,228.1248447893738,91.653573059748,1010.4317018978777,3.6977333964821044,6.674025059102712,42.370266220985215,25.797959072325565,0
2024-01-08 02:05:00,0.536733672969515,58.95445313766708,2908.3004197478595,630.5586221608038,3.765551829937478,6.34423246829697,56.36363733193788,36.060948578166744,14.337835041424054,239.48780958490883,66.36584669725971,1429.4037463259888,3.6586464271444945,8.017296847656349,29.946335128160328,2.480359300891746,0
2024-01-31 02:20:00,0.35133388053837133,51.71509822980243,2986.867747121029,746.0887856701337,2.581150061577001,5.8869630211815505,42.56289649685604,25.08693206651628,19.184360353034165,228.8426652624174,76.24382729480547,845.048670455853,3.6618178314410312,8.15305385137349,26.267651320907873,22.6493089784694,0
2024-01-04 20:50:00,0.555763960905022,52.166842439890026,2929.308054459144,912.0820199355828,3.640367044979876,7.832575267758961,57.326058597601545,42.74282849632508,19.2275739268607,235.75917859336062,84.24341348275397,1246.399086154195,3.9333158160026924,6.501927403825894,41.45999124760215,27.08324421856689,0
2024-02-18 06:30:00,0.571158176900661,51.460103671106744,2948.2263883312876,565.1326085052891,2.6648454874922756,6.772750350223542,57.042964789467206,31.31723234905928,10.279490047084419,239.95935821181948,59.010481883454105,731.651500452537,3.6905770021491566,6.7005342973876205,29.495521499387063,11.923694284176893,0
2024-02-11 12:55:00,0.3177293907021772,53.460262840267475,2953.9148896727347,776.5303670028015,2.539902217569529,5.569886075913256,37.14265853529435,31.036996431767538,17.790322235218845,231.63625460849948,77.40645251304022,1240.1353561345168,3.94642385041697,8.025463686785455,34.46437864511163,10.430273339998232,0
2024-02-08 10:40:00,0.420957673923148,59.540873530357146,2917.8499715065764,620.531759315988,4.217251934840997,5.303361009554257,41.08719047782212,50.26699479447038,14.090895093783182,224.2844838998498,54.020335290107255,571.724414659929,3.84676975293047,7.327210623472942,38.423075765587946,27.61534889103684,0
2024-01-11 10:10:00,0.3502807392754994,58.89074916746719,2976.2754385474773,997.1884082524787,3.0043257297812405,6.109466838802069,33.096740067955096,49.08207570430288,10.313675466349952,228.6504209934253,75.77590980784359,957.9760687016206,3.5823309449369947,8.41833812975913,36.463210300910916,4.17789927132537,0
2024-03-09 15:35:00,1.3334959809732894,48.418234056050046,2844.415040232851,131.42856812265507,1.519144516518975,4.503200508736034,77.8578328589907,68.48885310734313,22.288565431482752,213.70148815435138,114.75473186508997,2944.1848265989183,4.727645021515052,6.228326715037861,51.107148692702964,36.732682613640335,1
2024-01-29 04:15:00,0.36827793452279145,59.743458249772864,2973.04119051378,648.4807514680766,4.392104724667163,7.333720159641386,37.631742569901405,43.049015317751966,14.074430781308724,235.91496738276143,52.36379145355941,962.2173786207406,3.99406603241523,7.445230189445487,39.361451731670115,15.630022760715324,0
